,0,1,2
0,50.0,111.0,105.0
1,51.0,119.0,105.0
2,52.0,129.0,105.0
3,53.0,137.0,105.0
4,54.0,142.0,104.0
5,55.0,151.0,104.0
6,56.0,157.0,104.0
7,57.0,164.0,105.0
8,58.0,169.0,105.0
9,59.0,175.0,105.0
10,60.0,180.0,106.0
11,61.0,185.0,106.0
12,62.0,190.0,107.0
13,63.0,195.0,108.0
14,64.0,201.0,109.0
15,65.0,207.0,110.0
16,66.0,213.0,110.0
17,67.0,219.0,111.0
18,68.0,226.0,112.0
19,69.0,232.0,112.0
20,70.0,238.0,113.0
21,71.0,244.0,113.0
22,72.0,251.0,112.0
23,73.0,257.0,112.0
24,74.0,263.0,112.0
25,75.0,270.0,111.0
26,76.0,277.0,111.0
27,77.0,283.0,110.0
28,78.0,289.0,109.0
29,79.0,294.0,109.0
30,80.0,300.0,109.0
31,81.0,306.0,110.0
32,82.0,312.0,111.0
33,83.0,319.0,112.0
34,84.0,325.0,114.0
35,85.0,332.0,114.0
36,86.0,339.0,115.0
37,87.0,345.0,116.0
38,88.0,352.0,116.0
39,89.0,359.0,117.0
40,90.0,365.0,117.0
41,91.0,372.0,118.0
42,92.0,379.0,119.0
43,93.0,385.0,119.0
44,94.0,392.0,121.0
45,95.0,398.0,122.0
46,96.0,405.0,124.0
47,97.0,411.0,126.0
48,98.0,417.0,127.0
49,99.0,423.0,129.0
50,100.0,429.0,130.0
51,101.0,435.0,132.0
52,102.0,441.0,133.0
53,103.0,448.0,134.0
54,104.0,454.0,136.0
55,105.0,461.0,136.0
56,106.0,468.0,137.0
57,107.0,475.0,136.0
58,108.0,482.0,135.0
59,109.0,489.0,132.0
60,110.0,493.0,129.0
61,111.0,498.0,126.0
62,112.0,504.0,124.0
63,113.0,509.0,122.0
64,114.0,514.0,121.0
65,115.0,518.0,120.0
66,116.0,523.0,119.0
67,117.0,528.0,119.0
68,118.0,534.0,118.0
69,119.0,540.0,117.0
70,120.0,545.0,116.0
71,121.0,552.0,116.0
72,122.0,557.0,114.0
73,123.0,562.0,112.0
74,124.0,567.0,110.0
75,125.0,571.0,106.0
76,126.0,576.0,104.0
77,127.0,581.0,101.0
78,128.0,586.0,97.0
79,129.0,601.0,103.0
80,130.0,606.0,102.0
81,131.0,617.0,99.0
82,132.0,613.0,90.0
83,133.0,635.0,95.0
84,134.0,639.0,92.0
85,135.0,643.0,89.0
86,136.0,645.0,88.0
87,137.0,656.0,86.0
88,138.0,660.0,83.0
89,139.0,663.0,81.0
90,140.0,662.0,79.0
91,141.0,641.0,79.0
92,142.0,642.0,79.0
93,143.0,642.0,79.0
94,144.0,669.0,81.0
95,145.0,672.0,82.0
96,146.0,674.0,83.0
97,147.0,652.0,82.0
98,148.0,676.0,85.0
99,149.0,684.0,86.0
100,150.0,681.0,86.0
101,151.0,691.0,88.0
102,152.0,695.0,89.0
103,153.0,696.0,88.0
104,154.0,701.0,87.0
105,155.0,710.0,88.0
106,156.0,716.0,89.0
107,157.0,723.0,89.0
108,158.0,727.0,89.0
109,159.0,734.0,90.0
110,160.0,732.0,88.0
111,161.0,740.0,91.0
112,162.0,746.0,91.0
113,163.0,749.0,90.0
114,164.0,754.0,89.0
115,165.0,752.0,88.0
116,166.0,752.0,88.0
117,167.0,753.0,88.0
118,168.0,755.0,88.0
119,169.0,760.0,89.0
120,170.0,764.0,90.0
121,171.0,762.0,93.0
122,172.0,769.0,96.0
123,173.0,774.0,97.0
124,174.0,780.0,98.0
125,175.0,788.0,99.0
126,176.0,789.0,101.0
127,177.0,793.0,102.0
128,178.0,804.0,102.0
129,179.0,803.0,103.0
130,180.0,811.0,104.0
131,181.0,815.0,105.0
132,182.0,824.0,106.0
133,183.0,831.0,106.0
134,184.0,832.0,105.0
135,185.0,835.0,105.0
136,186.0,845.0,106.0
137,187.0,850.0,106.0
138,188.0,863.0,108.0
139,189.0,869.0,108.0
140,190.0,868.0,106.0
141,191.0,874.0,105.0
142,192.0,889.0,108.0
143,193.0,894.0,107.0
144,194.0,899.0,106.0
145,195.0,904.0,106.0
146,196.0,910.0,106.0
147,197.0,918.0,107.0
148,198.0,927.0,108.0
149,199.0,938.0,110.0
150,200.0,948.0,110.0
151,201.0,955.0,110.0
152,202.0,961.0,110.0
153,203.0,969.0,111.0
154,204.0,977.0,111.0
155,205.0,981.0,109.0
156,206.0,988.0,109.0
157,207.0,996.0,110.0
158,208.0,1002.0,110.0
159,209.0,1007.0,110.0
160,210.0,1012.0,109.0
161,211.0,1017.0,110.0
162,212.0,1021.0,109.0
163,213.0,1027.0,109.0
164,214.0,1033.0,109.0
165,215.0,1039.0,109.0
166,216.0,1047.0,110.0
167,217.0,1053.0,109.0
168,218.0,1057.0,109.0
169,219.0,1063.0,109.0
170,220.0,1069.0,108.0
171,221.0,1074.0,108.0
172,222.0,1080.0,108.0
173,223.0,1087.0,108.0
174,224.0,1095.0,108.0
175,225.0,1104.0,108.0
